date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-15,-297.5018650498831,-298.205786111878,-296.7978241484708,4723833696
2025-03-16,-294.47240205781196,-295.1300306007973,-293.7686098752169,4723833696
2025-03-17,-286.89363909580095,-287.619362245952,-286.20424218320596,4723833696
2025-03-18,-274.5032374509516,-275.19128260184067,-273.77694745173596,4723833696
2025-03-19,-257.1154998318882,-257.8156570152618,-256.3797041461541,4723833696
2025-03-20,-234.6298810484829,-235.33353083440628,-233.99499669494156,4723833696
2025-03-21,-207.03803865628325,-207.69187919961638,-206.34127124314162,4723833696
2025-03-22,-174.42920089574534,-175.127809658322,-173.70916101599548,4723833696
2025-03-23,-136.99366167905953,-137.69084944200404,-136.26433930180104,4723833696
2025-03-24,-95.02425043456003,-95.67618213452567,-94.37637273556157,4723833696
2025-02-25,-2.745696939172223,-2.745696939338392,-2.745696938999234,4723910471
2025-02-26,-7.251395552097495,-7.251395552267242,-7.251395551926632,4723910471
2025-02-27,-12.400746296105053,-12.400746296296482,-12.40074629593076,4723910471
2025-02-28,-18.060108208041907,-18.06010820822807,-18.060108207867533,4723910471
2025-03-01,-24.082324765461518,-24.08232476565792,-24.082324765277175,4723910471
2025-03-02,-30.310862857640526,-30.310862857819778,-30.310862857453586,4723910471
2025-03-03,-36.58423068091254,-36.58423068109044,-36.5842306807054,4723910471
2025-03-04,-42.74055254114411,-42.740552541332974,-42.740552540940286,4723910471
2025-03-05,-48.622173636231985,-48.62217363643287,-48.622173636015994,4723910471
2025-03-06,-54.08016648644135,-54.08016648664642,-54.08016648624406,4723910471
2025-03-07,-58.97861282786272,-58.978612828083456,-58.97861282765184,4723910471
2025-03-08,-63.19854043661649,-63.19854043683007,-63.19854043639011,4723910471
2025-03-09,-66.64140336362581,-66.6414033638337,-66.64140336340847,4723910471
2025-03-10,-69.23200618944108,-69.23200618966484,-69.23200618922414,4723910471
2025-03-11,-70.92078783221498,-70.92078783243971,-70.92078783200417,4723910471
2025-03-12,-71.68539775136915,-71.68539775158717,-71.68539775113442,4723910471
2025-03-13,-71.53151661606049,-71.53151661632376,-71.53151661582643,4723910471
2025-03-14,-70.49289412335413,-70.49289412360245,-70.49289412309453,4723910471
2025-03-15,-68.63059809191768,-68.63059809218555,-68.63059809165097,4723910471
2025-03-16,-66.03149063479157,-66.03149063508607,-66.03149063453213,4723910471
2025-03-17,-62.805968531935676,-62.80596853228223,-62.80596853161662,4723910471
2025-03-18,-59.08502529432717,-59.08502529464238,-59.085025294014045,4723910471
2025-03-19,-55.01671127321243,-55.01671127351984,-55.01671123824669,4723910471
2025-03-20,-50.762085000944545,-50.762087875265244,-50.762080650673816,4723910471
2025-03-21,-46.4907632877882,-46.490774473370394,-46.49074803604137,4723910471
2025-03-22,-42.37618904539735,-42.376206791101495,-42.37615917519311,4723910471
2025-03-23,-38.59074404366054,-38.5907629578311,-38.59070124943186,4723910471
2025-03-24,-35.30083860327818,-35.30087464497874,-35.30078663378495,4723910471
2025-02-11,450.9522659237991,450.5639209127033,451.36096135162836,4723938440
2025-02-12,446.48568865830697,446.0805750173113,446.89298502099155,4723938440
2025-02-13,443.7659041303968,443.3748065768013,444.15598716607434,4723938440
2025-02-14,443.2582725140877,442.8404424574076,443.67107413255854,4723938440
2025-02-15,445.30747437475287,444.9139909224047,445.7310065000672,4723938440
2025-02-16,450.126614930855,449.7336221500166,450.51064421709094,4723938440
2025-02-17,457.79039018053055,457.38671399407923,458.2363954753207,4723938440
2025-02-18,468.2325044918078,467.8347154740822,468.61233120731964,4723938440
2025-02-19,481.24740916244593,480.83507388493337,481.64680175756934,4723938440
2025-02-20,496.49630951271917,496.1067143306303,496.8709708395987,4723938440
2025-02-21,513.5172676850156,513.0938225655582,513.9146715810432,4723938440
2025-02-22,531.7391128122326,531.349645865949,532.1388176535482,4723938440
2025-02-23,550.4987628002267,550.108686429127,550.9199938569469,4723938440
2025-02-24,569.0614656160619,568.6498982209522,569.4638165550241,4723938440
2025-02-25,586.6433853549692,586.2432286189378,587.0432599820449,4723938440
2025-02-26,602.4358917489575,602.0074053054606,602.8541213747008,4723938440
2025-02-27,615.6308630224061,615.2388233319787,616.0687513671849,4723938440
2025-02-28,625.4462824247574,625.0412252166435,625.8504194791122,4723938440
2025-03-01,631.1513991888083,630.7260859095405,631.5437122778799,4723938440
2025-03-02,632.0907353105707,631.6906844725219,632.4744095985825,4723938440
2025-03-03,627.7062501292121,627.3129656280305,628.0758247965101,4723938440
2025-03-04,617.5570243219684,617.1474549860252,617.9707963713342,4723938440
2025-03-05,601.3358922375158,600.9127164112366,601.7421378853784,4723938440
2025-03-06,578.8825345946107,578.4722998769438,579.3009503536703,4723938440
2025-03-07,550.1926401588089,549.7871708074598,550.6077991697194,4723938440
2025-03-08,515.4228524009598,515.0059207218225,515.8107459967304,4723938440
2025-03-09,474.8913323694268,474.465498277714,475.2970444453487,4723938440
2025-03-10,429.07388888263324,428.67769451209045,429.4413610208654,4723938440
2025-02-25,-0.3117086704703098,-0.31170867068043157,-0.31170867027117405,4724133655
2025-02-26,-2.588584597465651,-2.588584597681848,-2.58858459725154,4724133655
2025-02-27,-4.789991165701856,-4.789991165906132,-4.789991165485262,4724133655
2025-02-28,-6.878548669554586,-6.878548669755561,-6.878548669346323,4724133655
2025-03-01,-8.820986386360396,-8.82098638659586,-8.820986386153656,4724133655
2025-03-02,-10.588869885343136,-10.588869885561312,-10.588869885109872,4724133655
2025-03-03,-12.159154119069562,-12.159154119286784,-12.159154118834483,4724133655
2025-03-04,-13.514545461631837,-13.514545461862546,-13.514545461405612,4724133655
2025-03-05,-14.643661852827396,-14.643661853053395,-14.643661852587464,4724133655
